Systematic_Category,m_yy_down,mean_down,alphaHi_down,nHi_down,alphaLow_down,nLow_down,sigma_down,weight_down,m_yy_up,mean_up,alphaHi_up,nHi_up,alphaLow_up,nLow_up,sigma_up,weight_up
EG_RESOLUTION_ALL_0,-99,124.998,1.65873,18.6433,1.45087,11.5705,1.58765,0.00048353,-99,124.998,1.65873,18.6433,1.45087,11.5705,1.886,0.00048353
EG_RESOLUTION_ALL_1,-99,124.987,1.94025,30.3998,1.6884,13.3628,1.44177,0.00048353,-99,124.987,1.94025,30.3998,1.6884,13.3628,1.67402,0.00048353
EG_RESOLUTION_ALL_10,-99,125.017,2.29949,99.9739,2.73937,5.85205,1,0.00048353,-99,125.017,2.29949,99.9739,2.73937,5.85205,2.28679,0.00048353
EG_RESOLUTION_ALL_12,-99,124.926,2.01086,99.9976,1.95437,13.1385,1.12632,0.00048353,-99,124.926,2.01086,99.9976,1.95437,13.1385,1.44397,0.00048353
EG_RESOLUTION_ALL_13,-99,125.116,2.42558,99.9999,2.40771,23.2133,1.02185,0.00048353,-99,125.116,2.42558,99.9999,2.40771,23.2133,1.27755,0.00048353
EG_RESOLUTION_ALL_2,-99,125.036,2.43978,4.79706,1.8368,8.0197,1.21649,0.00048353,-99,125.036,2.43978,4.79706,1.8368,8.0197,1.52382,0.00048353
EG_RESOLUTION_ALL_3,-99,124.995,1.72699,16.7648,1.42422,13.5387,1.77838,0.00048353,-99,124.995,1.72699,16.7648,1.42422,13.5387,2.11105,0.00048353
EG_RESOLUTION_ALL_4,-99,125.034,1.75722,14.4667,1.49289,14.6328,1.5426,0.00048353,-99,125.034,1.75722,14.4667,1.49289,14.6328,1.9447,0.00048353
EG_RESOLUTION_ALL_5,-99,125.057,1.84901,6.5129,1.49953,12.4232,1.39723,0.00048353,-99,125.057,1.84901,6.5129,1.49953,12.4232,1.72749,0.00048353
EG_RESOLUTION_ALL_6,-99,125.013,1.63875,7.2605,1.5066,9.55241,1.15056,0.00048353,-99,125.013,1.63875,7.2605,1.5066,9.55241,1.53413,0.00048353
EG_RESOLUTION_ALL_7,-99,124.966,1.40354,34.2554,1.49829,9.57466,1.32383,0.00048353,-99,124.966,1.40354,34.2554,1.49829,9.57466,1.66151,0.00048353
EG_RESOLUTION_ALL_8,-99,125.058,1.97696,66.3504,1.3779,27.304,1.20415,0.00048353,-99,125.058,1.97696,66.3504,1.3779,27.304,1.5969,0.00048353
EG_RESOLUTION_ALL_9,-99,125.958,1.3645,98.6065,1.62243,2.20331,1,0.00048353,-99,125.958,1.3645,98.6065,1.62243,2.20331,1.41987,0.00048353
EG_SCALE_ALL_0,-99,124.435,1.65873,18.6433,1.45087,11.5705,1.73527,0.00048353,-99,125.561,1.65873,18.6433,1.45087,11.5705,1.73527,0.00048353
EG_SCALE_ALL_1,-99,124.602,1.94025,30.3998,1.6884,13.3628,1.55753,0.00048353,-99,125.373,1.94025,30.3998,1.6884,13.3628,1.55753,0.00048353
EG_SCALE_ALL_10,-99,124.318,2.29949,99.9739,2.73937,5.85205,1.00095,0.00048353,-99,125.657,2.29949,99.9739,2.73937,5.85205,1.00095,0.00048353
EG_SCALE_ALL_12,-99,124.251,2.01086,99.9976,1.95437,13.1385,1.29895,0.00048353,-99,125.668,2.01086,99.9976,1.95437,13.1385,1.29895,0.00048353
EG_SCALE_ALL_13,-99,124.113,2.42558,99.9999,2.40771,23.2133,1.04769,0.00048353,-99,126,2.42558,99.9999,2.40771,23.2133,1.04769,0.00048353
EG_SCALE_ALL_2,-99,124.564,2.43978,4.79706,1.8368,8.0197,1.3706,0.00048353,-99,125.508,2.43978,4.79706,1.8368,8.0197,1.3706,0.00048353
EG_SCALE_ALL_3,-99,124.328,1.72699,16.7648,1.42422,13.5387,1.94228,0.00048353,-99,125.661,1.72699,16.7648,1.42422,13.5387,1.94228,0.00048353
EG_SCALE_ALL_4,-99,124.269,1.75722,14.4667,1.49289,14.6328,1.74152,0.00048353,-99,125.799,1.75722,14.4667,1.49289,14.6328,1.74152,0.00048353
EG_SCALE_ALL_5,-99,124.441,1.84901,6.5129,1.49953,12.4232,1.5596,0.00048353,-99,125.67,1.84901,6.5129,1.49953,12.4232,1.5596,0.00048353
EG_SCALE_ALL_6,-99,124.349,1.63875,7.2605,1.5066,9.55241,1.33873,0.00048353,-99,125.666,1.63875,7.2605,1.5066,9.55241,1.33873,0.00048353
EG_SCALE_ALL_7,-99,124.317,1.40354,34.2554,1.49829,9.57466,1.49413,0.00048353,-99,125.607,1.40354,34.2554,1.49829,9.57466,1.49413,0.00048353
EG_SCALE_ALL_8,-99,124.355,1.97696,66.3504,1.3779,27.304,1.40332,0.00048353,-99,125.753,1.97696,66.3504,1.3779,27.304,1.40332,0.00048353
EG_SCALE_ALL_9,-99,125.124,1.3645,98.6065,1.62243,2.20331,1.14946,0.00048353,-99,126,1.3645,98.6065,1.62243,2.20331,1.14946,0.00048353
nominal_0,-99,124.998,1.65873,18.6433,1.45087,11.5705,1.73527,0.00048353,-99,-99,-99,-99,-99,-99,-99,-99
nominal_1,-99,124.987,1.94025,30.3998,1.6884,13.3628,1.55753,0.00048353,-99,-99,-99,-99,-99,-99,-99,-99
nominal_10,-99,125.017,2.29949,99.9739,2.73937,5.85205,1.00095,0.00048353,-99,-99,-99,-99,-99,-99,-99,-99
nominal_12,-99,124.926,2.01086,99.9976,1.95437,13.1385,1.29895,0.00048353,-99,-99,-99,-99,-99,-99,-99,-99
nominal_13,-99,125.116,2.42558,99.9999,2.40771,23.2133,1.04769,0.00048353,-99,-99,-99,-99,-99,-99,-99,-99
nominal_2,-99,125.036,2.43978,4.79706,1.8368,8.0197,1.3706,0.00048353,-99,-99,-99,-99,-99,-99,-99,-99
nominal_3,-99,124.995,1.72699,16.7648,1.42422,13.5387,1.94228,0.00048353,-99,-99,-99,-99,-99,-99,-99,-99
nominal_4,-99,125.034,1.75722,14.4667,1.49289,14.6328,1.74152,0.00048353,-99,-99,-99,-99,-99,-99,-99,-99
nominal_5,-99,125.057,1.84901,6.5129,1.49953,12.4232,1.5596,0.00048353,-99,-99,-99,-99,-99,-99,-99,-99
nominal_6,-99,125.013,1.63875,7.2605,1.5066,9.55241,1.33873,0.00048353,-99,-99,-99,-99,-99,-99,-99,-99
nominal_7,-99,124.966,1.40354,34.2554,1.49829,9.57466,1.49413,0.00048353,-99,-99,-99,-99,-99,-99,-99,-99
nominal_8,-99,125.058,1.97696,66.3504,1.3779,27.304,1.40332,0.00048353,-99,-99,-99,-99,-99,-99,-99,-99
nominal_9,-99,125.958,1.3645,98.6065,1.62243,2.20331,1.14946,0.00048353,-99,-99,-99,-99,-99,-99,-99,-99
